,tweets_lies,nombre_tweets_lies,candidat
ecologie,19.2488,41,Macron
economie,20.6573,44,Macron
education,9.8592,21,Macron
immigration,5.1643,11,Macron
sante,5.1643,11,Macron
securite_defense,39.9061,85,Macron
